Yoga_1,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Right Ankle,671,827,694,845,674,831,29.20616373,80.52922418,5,96.66666667,,,,,,,,,,,,,,,,,,
Yoga_6,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,429,313,427,312,439,311,2.236067977,98.50928802,10.19803903,93.20130732,,,,,,,,,,,,,,,,,,
,Left Shoulder,405,419,412,379,411,411,40.60788101,72.92807933,10,93.33333333,,,,,,,,,,,,,,,,,,
,Right Shoulder,543,339,526,330,544,331,19.23538406,87.17641063,8.062257748,94.6251615,,,,,,,,,,,,,,,,,,
,Left Elbow,339,512,361,485,340,505,34.82814953,76.78123364,7.071067812,95.28595479,,,,,,,,,,,,,,,,,,
,Right Elbow,658,286,641,295,661,288,19.23538406,87.17641063,3.605551275,97.59629915,,,,,,,,,,,,,,,,,,
,Left Wrist,232,547,258,546,231,546,26.01922366,82.65385089,1.414213562,99.05719096,,,,,,,,,,,,,,,,,,
,Right Wrist,771,240,749,248,769,247,23.40939982,84.39373345,7.280109889,95.14659341,,,,,,,,,,,,,,,,,,
,Left Hip,481,582,494,577,496,600,13.92838828,90.71440782,23.43074903,84.37950065,,,,,,,,,,,,,,,,,,
,Right Hip,594,568,586,568,589,595,8,94.66666667,27.45906044,81.69395971,,,,,,,,,,,,,,,,,,
,Left Knee,362,744,386,713,366,732,39.20459157,73.86360562,12.64911064,91.56725957,,,,,,,,,,,,,,,,,,
,Right Knee,741,687,730,687,735,683,11,92.66666667,7.211102551,95.1925983,,,,,,,,,,,,,,,,,,
,Left Ankle,237,863,240,864,243,862,3.16227766,97.89181489,6.08276253,95.94482498,,,,,,,,,,,,,,,,,,
,Right Ankle,734,846,734,862,736,855,16,89.33333333,9.219544457,93.85363703,,,,,,,,,,,,,,,,,,
Yoga_7,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,421,322,422,316,423,321,6.08276253,95.94482498,2.236067977,98.50928802,,,,,,,,,,,,,,,,,,
,Left Shoulder,438,446,425,417,441,443,31.78049716,78.81300189,4.242640687,97.17157288,,,,,,,,,,,,,,,,,,
,Right Shoulder,536,335,524,339,536,342,12.64911064,91.56725957,7,95.33333333,,,,,,,,,,,,,,,,,,
,Left Elbow,456,571,431,548,454,573,33.9705755,77.35294966,2.828427125,98.11438192,,,,,,,,,,,,,,,,,,
,Right Elbow,594,250,601,234,594,249,17.4642492,88.3571672,1,99.33333333,,,,,,,,,,,,,,,,,,
,Left Wrist,409,677,418,656,409,679,22.84731932,84.76845379,2,98.66666667,,,,,,,,,,,,,,,,,,
,Right Wrist,661,123,661,136,661,121,13,91.33333333,2,98.66666667,,,,,,,,,,,,,,,,,,
,Left Hip,503,574,520,600,504,579,31.06444913,79.29036724,5.099019514,96.60065366,,,,,,,,,,,,,,,,,,
,Right Hip,611,570,610,579,611,579,9.055385138,93.96307657,9,94,,,,,,,,,,,,,,,,,,
,Left Knee,386,738,412,733,386,741,26.47640459,82.34906361,3,98,,,,,,,,,,,,,,,,,,
,Right Knee,774,692,759,697,768,692,15.8113883,89.45907447,6,96,,,,,,,,,,,,,,,,,,
,774,249,872,253,882,251,875,10.77032961,92.81978026,3.605551275,97.59629915,,,,,,,,,,,,,,,,,,
,249,757,862,757,877,757,869,15,90,7,95.33333333,,,,,,,,,,,,,,,,,,
Yoga_8,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,418,343,416,347,419,342,4.472135955,97.01857603,1.414213562,99.05719096,,,,,,,,,,,,,,,,,,
,Left Shoulder,446,469,426,456,449,474,23.85372088,84.09751941,5.830951895,96.11269874,,,,,,,,,,,,,,,,,,
,Right Shoulder,531,372,520,370,531,370,11.18033989,92.54644008,2,98.66666667,,,,,,,,,,,,,,,,,,
,Left Elbow,469,598,469,591,475,597,7,95.33333333,6.08276253,95.94482498,,,,,,,,,,,,,,,,,,
,Right Elbow,512,225,522,250,516,232,26.92582404,82.04945064,8.062257748,94.6251615,,,,,,,,,,,,,,,,,,
,Left Wrist,430,702,434,691,429,704,11.70469991,92.19686673,2.236067977,98.50928802,,,,,,,,,,,,,,,,,,
,Right Wrist,471,91,501,140,471,94,57.45432969,61.69711354,3,98,,,,,,,,,,,,,,,,,,
,Left Hip,531,622,529,641,527,627,19.10497317,87.26335122,6.403124237,95.73125051,,,,,,,,,,,,,,,,,,
,Right Hip,632,600,629,615,634,610,15.29705854,89.80196097,10.19803903,93.20130732,,,,,,,,,,,,,,,,,,
,Left Knee,394,777,410,769,394,771,17.88854382,88.07430412,6,96,,,,,,,,,,,,,,,,,,
,Right Knee,768,723,782,729,767,723,15.23154621,89.84563586,1,99.33333333,,,,,,,,,,,,,,,,,,
,Left Ankle,261,912,259,913,263,908,2.236067977,98.50928802,4.472135955,97.01857603,,,,,,,,,,,,,,,,,,
,Right Ankle,773,894,779,909,776,900,16.15549442,89.22967039,6.708203932,95.52786405,,,,,,,,,,,,,,,,,,
Yoga_9,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,397,394,407,414,409,390,22.36067977,85.09288015,12.64911064,91.56725957,,,,,,,,,,,,,,,,,,
,Left Shoulder,438,529,438,512,456,511,17,88.66666667,25.45584412,83.02943725,,,,,,,,,,,,,,,,,,
,Right Shoulder,504,407,502,399,509,410,8.246211251,94.50252583,5.830951895,96.11269874,,,,,,,,,,,,,,,,,,
,Left Elbow,467,645,468,643,472,634,2.236067977,98.50928802,12.08304597,91.94463602,,,,,,,,,,,,,,,,,,
,Right Elbow,454,274,461,276,458,276,7.280109889,95.14659341,4.472135955,97.01857603,,,,,,,,,,,,,,,,,,
,Left Wrist,419,749,432,718,422,738,33.61547263,77.58968491,11.40175425,92.3988305,,,,,,,,,,,,,,,,,,
,Right Wrist,374,172,420,199,380,177,53.33854141,64.44097239,7.810249676,94.79316688,,,,,,,,,,,,,,,,,,
,Left Hip,527,625,538,655,552,665,31.95309062,78.69793959,47.16990566,68.55339623,,,,,,,,,,,,,,,,,,
,Right Hip,643,615,636,624,613,651,11.40175425,92.3988305,46.86149806,68.7590013,,,,,,,,,,,,,,,,,,
,Left Knee,386,805,412,785,399,796,32.80243893,78.13170738,15.8113883,89.45907447,,,,,,,,,,,,,,,,,,
,Right Knee,793,755,781,760,788,753,13,91.33333333,5.385164807,96.40989013,,,,,,,,,,,,,,,,,,
,Left Ankle,256,939,262,944,255,937,7.810249676,94.79316688,2.236067977,98.50928802,,,,,,,,,,,,,,,,,,
,Right Ankle,772,925,778,953,776,931,28.63564213,80.90957192,7.211102551,95.1925983,,,,,,,,,,,,,,,,,,
Yoga_10,Joint,Coordinates,,,,,,YOLOv7 Pose,,MediaPipe,,,,,,,,,,,,,,,,,,,
,,Ground Truth,,YOLOv7 Pose,,MediaPipe,,Euclidean Distance,Accuracy,Euclidean Distance,Accuracy,,,,,,,,,,,,,,,,,,
,Nose,393,407,394,417,391,412,10.04987562,93.30008292,5.385164807,96.40989013,,,,,,,,,,,,,,,,,,
,Left Shoulder,442,539,439,512,451,523,27.16615541,81.88922972,18.35755975,87.76162683,,,,,,,,,,,,,,,,,,
,Right Shoulder,501,414,499,414,504,426,2,98.66666667,12.36931688,91.75378875,,,,,,,,,,,,,,,,,,
,Left Elbow,476,656,479,640,476,652,16.2788206,89.14745294,4,97.33333333,,,,,,,,,,,,,,,,,,
,Right Elbow,426,303,422,327,427,307,24.33105012,83.77929992,4.123105626,97.25126292,,,,,,,,,,,,,,,,,,
,Left Wrist,431,754,442,715,432,760,40.52159918,72.98560055,6.08276253,95.94482498,,,,,,,,,,,,,,,,,,
,Right Wrist,299,281,314,295,294,281,20.51828453,86.32114365,5,96.66666667,,,,,,,,,,,,,,,,,,
,Left Hip,535,643,544,677,559,663,35.17101079,76.55265947,31.2409987,79.17266753,,,,,,,,,,,,,,,,,,
,Right Hip,644,634,944,647,629,651,300.2815346,73.81231029,22.6715681,84.88562127,,,,,,,,,,,,,,,,,,
,Left Knee,402,818,420,809,414,809,20.1246118,86.58359214,15,90,,,,,,,,,,,,,,,,,,
,Right Knee,804,762,791,767,802,754,13.92838828,90.71440782,8.246211251,94.50252583,,,,,,,,,,,,,,,,,,
,Left Ankle,266,944,265,955,269,945,11.04536102,92.63642599,3.16227766,97.89181489,,,,,,,,,,,,,,,,,,
,Right Ankle,777,928,784,970,779,932,42.57933771,71.61377486,4.472135955,97.01857603,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
